,market_ticker,end_period_ts,mean_dollars,previous_dollars,open_interest_fp,volume_fp,open_dollars,close_dollars,high_dollars,low_dollars,ask_close_dollars,bid_close_dollars,ask_high_dollars,bid_high_dollars,ask_low_dollars,bid_low_dollars,ask_open_dollars,bid_open_dollars,price,yes_ask,yes_bid
0,KXMLBGAME-26MAY201610CWSSEA-SEA,1779289200,0.58,0.58,22666.27,6517.19,0.58,0.58,0.58,0.57,0.58,0.57,0.58,0.57,0.58,0.57,0.58,0.57,"{'close_dollars': '0.5800', 'high_dollars': '0.5800', 'low_dollars': '0.5700', 'mean_dollars': '0.5800', 'open_dollars': '0.5800', 'previous_dollars': '0.5800'}","{'close_dollars': '0.5800', 'high_dollars': '0.5800', 'low_dollars': '0.5800', 'open_dollars': '0.5800'}","{'close_dollars': '0.5700', 'high_dollars': '0.5700', 'low_dollars': '0.5700', 'open_dollars': '0.5700'}"
1,KXMLBGAME-26MAY201610CWSSEA-SEA,1779292800,0.58,0.58,37200.86,14534.59,0.58,0.58,0.58,0.57,0.58,0.57,0.58,0.57,0.58,0.57,0.58,0.57,"{'close_dollars': '0.5800', 'high_dollars': '0.5800', 'low_dollars': '0.5700', 'mean_dollars': '0.5800', 'open_dollars': '0.5800', 'previous_dollars': '0.5800'}","{'close_dollars': '0.5800', 'high_dollars': '0.5800', 'low_dollars': '0.5800', 'open_dollars': '0.5800'}","{'close_dollars': '0.5700', 'high_dollars': '0.5700', 'low_dollars': '0.5700', 'open_dollars': '0.5700'}"
2,KXMLBGAME-26MAY201610CWSSEA-SEA,1779296400,0.5799,0.58,42102.32,4942.59,0.58,0.58,0.58,0.57,0.58,0.57,0.58,0.57,0.58,0.57,0.58,0.57,"{'close_dollars': '0.5800', 'high_dollars': '0.5800', 'low_dollars': '0.5700', 'mean_dollars': '0.5799', 'open_dollars': '0.5800', 'previous_dollars': '0.5800'}","{'close_dollars': '0.5800', 'high_dollars': '0.5800', 'low_dollars': '0.5800', 'open_dollars': '0.5800'}","{'close_dollars': '0.5700', 'high_dollars': '0.5700', 'low_dollars': '0.5700', 'open_dollars': '0.5700'}"
3,KXMLBGAME-26MAY201610CWSSEA-SEA,1779300000,0.5799,0.58,48551.63,6728.69,0.58,0.58,0.58,0.57,0.58,0.57,0.58,0.57,0.58,0.57,0.58,0.57,"{'close_dollars': '0.5800', 'high_dollars': '0.5800', 'low_dollars': '0.5700', 'mean_dollars': '0.5799', 'open_dollars': '0.5800', 'previous_dollars': '0.5800'}","{'close_dollars': '0.5800', 'high_dollars': '0.5800', 'low_dollars': '0.5800', 'open_dollars': '0.5800'}","{'close_dollars': '0.5700', 'high_dollars': '0.5700', 'low_dollars': '0.5700', 'open_dollars': '0.5700'}"
4,KXMLBGAME-26MAY201610CWSSEA-SEA,1779303600,0.5741,0.58,73184.68,24647.46,0.58,0.57,0.58,0.56,0.58,0.57,0.58,0.57,0.57,0.56,0.58,0.57,"{'close_dollars': '0.5700', 'high_dollars': '0.5800', 'low_dollars': '0.5600', 'mean_dollars': '0.5741', 'open_dollars': '0.5800', 'previous_dollars': '0.5800'}","{'close_dollars': '0.5800', 'high_dollars': '0.5800', 'low_dollars': '0.5700', 'open_dollars': '0.5800'}","{'close_dollars': '0.5700', 'high_dollars': '0.5700', 'low_dollars': '0.5600', 'open_dollars': '0.5700'}"
5,KXMLBGAME-26MAY201610CWSSEA-SEA,1779307200,0.5699,0.57,130184.13,57807.62,0.58,0.57,0.58,0.56,0.57,0.56,0.58,0.57,0.57,0.56,0.58,0.57,"{'close_dollars': '0.5700', 'high_dollars': '0.5800', 'low_dollars': '0.5600', 'mean_dollars': '0.5699', 'open_dollars': '0.5800', 'previous_dollars': '0.5700'}","{'close_dollars': '0.5700', 'high_dollars': '0.5800', 'low_dollars': '0.5700', 'open_dollars': '0.5800'}","{'close_dollars': '0.5600', 'high_dollars': '0.5700', 'low_dollars': '0.5600', 'open_dollars': '0.5700'}"
6,KXMLBGAME-26MAY201610CWSSEA-SEA,1779310800,0.5653,0.57,362811.21,287935.23,0.57,0.61,0.78,0.34,0.61,0.6,0.78,0.73,0.37,0.34,0.57,0.56,"{'close_dollars': '0.6100', 'high_dollars': '0.7800', 'low_dollars': '0.3400', 'mean_dollars': '0.5653', 'open_dollars': '0.5700', 'previous_dollars': '0.5700'}","{'close_dollars': '0.6100', 'high_dollars': '0.7800', 'low_dollars': '0.3700', 'open_dollars': '0.5700'}","{'close_dollars': '0.6000', 'high_dollars': '0.7300', 'low_dollars': '0.3400', 'open_dollars': '0.5600'}"
7,KXMLBGAME-26MAY201610CWSSEA-SEA,1779314400,0.5969,0.61,939480.83,751109.10,0.61,0.62,0.83,0.33,0.6,0.57,0.83,0.8,0.38,0.32,0.61,0.6,"{'close_dollars': '0.6200', 'high_dollars': '0.8300', 'low_dollars': '0.3300', 'mean_dollars': '0.5969', 'open_dollars': '0.6100', 'previous_dollars': '0.6100'}","{'close_dollars': '0.6000', 'high_dollars': '0.8300', 'low_dollars': '0.3800', 'open_dollars': '0.6100'}","{'close_dollars': '0.5700', 'high_dollars': '0.8000', 'low_dollars': '0.3200', 'open_dollars': '0.6000'}"
8,KXMLBGAME-26MAY201610CWSSEA-SEA,1779318000,0.8396,0.62,1434620.25,1186746.78,0.6,0.99,0.99,0.51,1.0,0.99,1.0,0.99,0.52,0.5,0.6,0.57,"{'close_dollars': '0.9900', 'high_dollars': '0.9900', 'low_dollars': '0.5100', 'mean_dollars': '0.8396', 'open_dollars': '0.6000', 'previous_dollars': '0.6200'}","{'close_dollars': '1.0000', 'high_dollars': '1.0000', 'low_dollars': '0.5200', 'open_dollars': '0.6000'}","{'close_dollars': '0.9900', 'high_dollars': '0.9900', 'low_dollars': '0.5000', 'open_dollars': '0.5700'}"
9,KXMLBGAME-26MAY201610CWSSEA-SEA,1779321600,,0.99,1434620.25,0.00,,,,,1.0,0.99,1.0,0.99,1.0,0.99,1.0,0.99,{'previous_dollars': '0.9900'},"{'close_dollars': '1.0000', 'high_dollars': '1.0000', 'low_dollars': '1.0000', 'open_dollars': '1.0000'}","{'close_dollars': '0.9900', 'high_dollars': '0.9900', 'low_dollars': '0.9900', 'open_dollars': '0.9900'}"
10,KXMLBGAME-26MAY201610CWSSEA-CWS,1779289200,0.4299,0.43,14330.56,3737.17,0.43,0.43,0.43,0.42,0.43,0.42,0.43,0.42,0.43,0.42,0.43,0.42,"{'close_dollars': '0.4300', 'high_dollars': '0.4300', 'low_dollars': '0.4200', 'mean_dollars': '0.4299', 'open_dollars': '0.4300', 'previous_dollars': '0.4300'}","{'close_dollars': '0.4300', 'high_dollars': '0.4300', 'low_dollars': '0.4300', 'open_dollars': '0.4300'}","{'close_dollars': '0.4200', 'high_dollars': '0.4200', 'low_dollars': '0.4200', 'open_dollars': '0.4200'}"
11,KXMLBGAME-26MAY201610CWSSEA-CWS,1779292800,0.43,0.43,18804.57,4474.01,0.43,0.43,0.43,0.42,0.43,0.42,0.43,0.42,0.43,0.42,0.43,0.42,"{'close_dollars': '0.4300', 'high_dollars': '0.4300', 'low_dollars': '0.4200', 'mean_dollars': '0.4300', 'open_dollars': '0.4300', 'previous_dollars': '0.4300'}","{'close_dollars': '0.4300', 'high_dollars': '0.4300', 'low_dollars': '0.4300', 'open_dollars': '0.4300'}","{'close_dollars': '0.4200', 'high_dollars': '0.4200', 'low_dollars': '0.4200', 'open_dollars': '0.4200'}"
12,KXMLBGAME-26MAY201610CWSSEA-CWS,1779296400,0.43,0.43,23379.59,4586.23,0.43,0.43,0.43,0.42,0.43,0.42,0.43,0.42,0.43,0.42,0.43,0.42,"{'close_dollars': '0.4300', 'high_dollars': '0.4300', 'low_dollars': '0.4200', 'mean_dollars': '0.4300', 'open_dollars': '0.4300', 'previous_dollars': '0.4300'}","{'close_dollars': '0.4300', 'high_dollars': '0.4300', 'low_dollars': '0.4300', 'open_dollars': '0.4300'}","{'close_dollars': '0.4200', 'high_dollars': '0.4200', 'low_dollars': '0.4200', 'open_dollars': '0.4200'}"
13,KXMLBGAME-26MAY201610CWSSEA-CWS,1779300000,0.4353,0.43,32054.57,8704.98,0.43,0.44,0.44,0.43,0.44,0.43,0.44,0.43,0.43,0.42,0.43,0.42,"{'close_dollars': '0.4400', 'high_dollars': '0.4400', 'low_dollars': '0.4300', 'mean_dollars': '0.4353', 'open_dollars': '0.4300', 'previous_dollars': '0.4300'}","{'close_dollars': '0.4400', 'high_dollars': '0.4400', 'low_dollars': '0.4300', 'open_dollars': '0.4300'}","{'close_dollars': '0.4300', 'high_dollars': '0.4300', 'low_dollars': '0.4200', 'open_dollars': '0.4200'}"
14,KXMLBGAME-26MAY201610CWSSEA-CWS,1779303600,0.4398,0.44,44920.53,13080.28,0.44,0.44,0.44,0.43,0.44,0.43,0.44,0.43,0.44,0.43,0.44,0.43,"{'close_dollars': '0.4400', 'high_dollars': '0.4400', 'low_dollars': '0.4300', 'mean_dollars': '0.4398', 'open_dollars': '0.4400', 'previous_dollars': '0.4400'}","{'close_dollars': '0.4400', 'high_dollars': '0.4400', 'low_dollars': '0.4400', 'open_dollars': '0.4400'}","{'close_dollars': '0.4300', 'high_dollars': '0.4300', 'low_dollars': '0.4300', 'open_dollars': '0.4300'}"
